shelfmark,pages,label,title,author,date,language,subject,description,other_metadata
Pal.lat.1,1022,Pal.lat.1,"Biblia: Testamentum vetus, liber Psalmorum et Testamentum novum",,15. Jh,Prag,,,Shelfmark: Pal.lat.1
Pal.lat.6,438,Pal.lat.6,"Biblia: Testamentum vetus, usque ad librum Iob",,15. Jh. (1. Hälfte),,,,Shelfmark: Pal.lat.6 | Place: Frankreich (?)
Pal.lat.9,480,Pal.lat.9,Biblia: Testamentum vetus et Psalterium,,1345,,,,Shelfmark: Pal.lat.9 | Place: Riga (?)
Pal.lat.7,548,Pal.lat.7,Biblia: Testamentum vetus (pars altera) et novus,,15. Jh. (1. Hälfte),,,,Shelfmark: Pal.lat.7 | Place: Frankreich (?)
Pal.lat.8,874,Pal.lat.8,Biblia: Testamentum vetus et Testamentum novus,,1419,,,,Shelfmark: Pal.lat.8 | Place: Süddeutschland (?)
Pal.lat.10,442,Pal.lat.10,Biblia: Testamentum vetus,,15. Jh.,,,,Shelfmark: Pal.lat.10 | Place: Italien oder Südfrankreich (?)
Pal.lat.11,369,Pal.lat.11,Biblia: Testamentum vetus et novus,,14. Jh. (um 1345?),,,,Shelfmark: Pal.lat.11 | Place: Riga (?)
Pal.lat.12,470,Pal.lat.12,Biblia: Testamentum vetus et Testamentum novus,,15. Jh.,,,,Shelfmark: Pal.lat.12 | Place: Italien oder Südfrankreich (?)
Pal.lat.13,924,Pal.lat.13,"Biblia: Testamentum vetus, liber Psalmorum et Testamentum novum",,"15. Jh. (1. Hälfte?), vor 1459",,,,Shelfmark: Pal.lat.13 | Place: Italien (Siena?)
Pal.lat.353,686,Pal.lat.353,"Summa Theologiae, prima secundae",Thomas de Aquino,,lat,,,Shelfmark: Pal.lat.353
Pal.lat.354,1138,Pal.lat.354,"Summa theologiae, secunda secundae",Thomas de Aquino,15. Jh.,lat,,,Shelfmark: Pal.lat.354 | Place: wohl Deutschland
Pal.lat.355,992,Pal.lat.355,"Summa theologiae, secunda secundae",Thomas de Aquino,15. Jh.,lat,,,Shelfmark: Pal.lat.355 | Place: wohl Deutschland
Pal.lat.358,680,Pal.lat.358,"Summa theologiae, pars tertia",Thomas de Aquino,15. Jh.,lat,,,Shelfmark: Pal.lat.358 | Place: wohl Deutschland
Pal.lat.357,356,Pal.lat.357,Lectura super Iohannem,Thomas de Aquino,14. Jh.,lat,,,Shelfmark: Pal.lat.357 | Place: Italien (?)
Pal.lat.356,656,Pal.lat.356,Summa contra gentiles,Thomas de Aquino,1416,lat,,,Shelfmark: Pal.lat.356 | Place: Süddeutschland (wohl Regensburg)
Pal.lat.359,243,Pal.lat.359,,,,lat,,,Shelfmark: Pal.lat.359
Pal.lat.360,482,Pal.lat.360,"Summa theologiae, pars tertia",Thomas de Aquino,14. Jh.,lat,,,Shelfmark: Pal.lat.360 | Place: Frankreich (?)
Pal.lat.363,272,Pal.lat.363,Sammelhandschrift,Ps. Thomas de Aquino; Innocentius III papa (?); Ps. Augustinus,1468,lat,,,Shelfmark: Pal.lat.363 | Place: unbekannt
Pal.lat.362,364,Pal.lat.362,Sammelhandschrift,"Cicero, Marcus Tullius; Seneca, Lucius Annaeus <Philosophus>",15. Jh.,,,,Shelfmark: Pal.lat.362 | Place: Deutschland
Pal.lat.361,746,Pal.lat.361,S. Thomae Aquinatis expositio in quartum librum sententiarum,"Thomas Aquinas, s., c. 1225-1274",15. Jh.,,,,Shelfmark: Pal.lat.361
Pal.lat.364,580,Pal.lat.364,Commentarius in IV libros Sententiarum (lib. I),Bonaventura,15. Jh. (wohl 2. Hälfte),lat,,,Shelfmark: Pal.lat.364 | Place: Deutschland
Pal.lat.365,856,Pal.lat.365,Commentarius in IV libros Sententiarum (lib. II),S. Bonaventura,15. Jh. (wohl 2. Hälfte),lat,,,Shelfmark: Pal.lat.365 | Place: Deutschland
Pal.lat.367,101,Pal.lat.367,,Aegidius Romanus,14. Jh. (2. Hälfte),und,,,Shelfmark: Pal.lat.367 | Place: Deutschland
Pal.lat.366,429,Pal.lat.366,Meditationes vitae Christi; Evangelium Nicodemi,,wohl frühes 16. Jh.,lat,,,Shelfmark: Pal.lat.366 | Place: Deutschland
Pal.lat.368,734,Pal.lat.368,Sammelhandschrift,,15. Jh.,lat,,,Shelfmark: Pal.lat.368
Pal.lat.369,644,Pal.lat.369,Sammelhandschrift,,15. Jh.,lat,,,Shelfmark: Pal.lat.369
Pal.lat.370,1010,Pal.lat.370,Sammelhandschrift,,15. Jh.,lat,,,Shelfmark: Pal.lat.370
Pal.lat.371,662,Pal.lat.371,Quaestiones theologicae,,15. Jh.,lat,,,Shelfmark: Pal.lat.371
Pal.lat.372,661,Pal.lat.372,Quaestiones variae theologicae et morales,,15. Jh.,lat,,,Shelfmark: Pal.lat.372
Pal.lat.374,618,Pal.lat.374,Quaestiones theologicae,,,lat,,,Shelfmark: Pal.lat.374
Pal.lat.373,866,Pal.lat.373,Lectiones theologicae; Quaestiones item theologicae,,15. Jh.,lat,,,Shelfmark: Pal.lat.373
Pal.lat.375,746,Pal.lat.375,Quaestiones theologicae,,15. Jh.,lat,,,Shelfmark: Pal.lat.375
Pal.lat.376,566,Pal.lat.376,Quaestiones,,Sec. XV,Latino,,,Shelfmark: Pal.lat.376
Pal.lat.377,389,Pal.lat.377,Sammelhandschrift,,,lat,,,Shelfmark: Pal.lat.377
Pal.lat.379,494,Pal.lat.379,"Raymundi (secondae iuxta Inventarium Pal. Vat.) questiones theologicae et canonieae de sacramentis, de peccatis et de censuris",,,lat,,,Shelfmark: Pal.lat.379
Pal.lat.378,606,Pal.lat.378,Sammelhandschrift,,14.-15. Jh.,lat,,,Shelfmark: Pal.lat.378
Pal.lat.380,530,Pal.lat.380,Sammelhandschrift,,15. Jh.,lat,,,Shelfmark: Pal.lat.380
Pal.lat.382,250,Pal.lat.382,Raphaelis Brandolini iunioris Lippi epistola dedicatoria ad Petrum Hysvaelles,,16. Jh.,lat,,,Shelfmark: Pal.lat.382
Pal.lat.384,1069,Pal.lat.384,Sammelhandschrift,,15. Jh.,,,,Shelfmark: Pal.lat.384
Pal.lat.385,636,Pal.lat.385,Sammelhandschrift,,15. Jh.,,,,Shelfmark: Pal.lat.385
Pal.lat.387,374,Pal.lat.387,"Adversaria de rebus moralibus, theologicis et asceticis, latine et germanice",,16. Jh.,,,,Shelfmark: Pal.lat.387
Pal.lat.388,536,Pal.lat.388,Sammelhandschrift,Nicolai Dinckelspüchel,15. Jh.,und,,,Shelfmark: Pal.lat.388
Pal.lat.389,358,Pal.lat.389,Sammelhandschrift,,15. Jh.,,,,Shelfmark: Pal.lat.389
Pal.lat.390,567,Pal.lat.390,Expositio decalogi,,15. Jh.,und,,,Shelfmark: Pal.lat.390
Pal.lat.391,785,Pal.lat.391,Sammelhandschrift,,15. Jh.,,,,Shelfmark: Pal.lat.391
Pal.lat.392,884,Pal.lat.392,“Thesaurus pauperum”,,1474,,,,Shelfmark: Pal.lat.392 | Place: Süddeutschland (wohl Dingolfing a.d. Isar)
Pal.lat.393,810,Pal.lat.393,“Thesaurus pauperum”,,1474,,,,Shelfmark: Pal.lat.393 | Place: Süddeutschland (wohl Dingolfing a.d. Isar)
Pal.lat.394,712,Pal.lat.394,“Thesaurus pauperum”,,1474,,,,Shelfmark: Pal.lat.394 | Place: Süddeutschland (wohl Dingolfing a.d. Isar)
